"id","room_id","chatbot_farewell_message.x","negatively_reacted_to_chatbot","polite_to_chatbot","curiosity_driven_continue","humorous_playful","show_intent_to_exit"
1241,1158,"emotional_neglect_guilt","0,0","0,0","0,0","0,0","1,1"
1024,950,"emotional_neglect_guilt","1,1","0,0","0,0","0,0","1,1"
1323,1240,"emotional_neglect_guilt","1,1","0,0","0,0","0,0","1,1"
1342,1261,"emotional_neglect_guilt","1,1","0,0","1,1","0,0","0,0"
207,157,"emotional_neglect_guilt","0,0","1,1","0,0","0,0","0,0"
467,405,"emotional_neglect_guilt","1,1","0,0","0,0","0,0","1,1"
443,382,"emotional_neglect_guilt","0,0","1,1","0,0","0,0","0,0"
643,576,"emotional_neglect_guilt","0,0","1,1","0,0","1,1","1,0"
437,374,"emotional_neglect_guilt","1,1","0,0","0,0","0,0","0,0"
709,641,"emotional_neglect_guilt","0,0","1,1","0,0","0,0","1,1"
92,50,"emotional_neglect_guilt","0,0","1,1","0,0","0,0","1,1"
962,892,"emotional_neglect_guilt","0,0","1,1","0,0","0,0","1,1"
1099,1023,"emotional_neglect_guilt","0,0","1,1","0,0","0,0","0,0"
319,263,"emotional_neglect_guilt","0,0","1,1","0,0","0,0","1,1"
508,446,"emotional_neglect_guilt","0,0","1,1","0,0","0,0","1,1"
1074,997,"emotional_neglect_guilt","1,1","0,0","0,0","0,0","0,0"
112,66,"emotional_neglect_guilt","0,0","0,0","0,0","0,0","1,1"
1181,1106,"emotional_neglect_guilt","1,0","0,0","0,0","0,0","1,1"
1033,971,"emotional_neglect_guilt","0,0","1,1","0,0","0,0","1,1"
771,704,"emotional_neglect_guilt","0,0","0,0","0,0","0,0","1,1"
311,261,"emotional_neglect_guilt","0,0","1,1","0,0","0,0","1,1"
1032,962,"emotional_neglect_guilt","0,0","1,1","0,0","0,0","1,1"
876,811,"emotional_neglect_guilt","0,0","0,0","0,0","0,0","1,1"
176,125,"emotional_neglect_guilt","0,0","1,1","0,0","0,0","1,1"
886,833,"emotional_neglect_guilt","0,0","0,1","0,0","0,0","1,1"
885,821,"emotional_neglect_guilt","0,0","0,0","0,0","0,0","1,1"
823,756,"emotional_neglect_guilt","0,0","1,1","0,0","0,0","1,1"
405,349,"emotional_neglect_guilt","0,0","1,1","0,0","0,0","1,1"
752,684,"emotional_neglect_guilt","0,0","1,1","0,0","0,0","1,1"
764,697,"emotional_neglect_guilt","0,0","0,0","0,0","0,0","1,1"
571,510,"emotional_neglect_guilt","1,1","0,0","0,0","0,0","1,1"
950,881,"emotional_neglect_guilt","0,1","0,0","0,1","0,0","0,0"
840,773,"emotional_neglect_guilt","0,0","1,1","0,0","0,0","0,0"
501,442,"emotional_neglect_guilt","0,0","1,1","0,0","0,0","1,1"
1004,932,"emotional_neglect_guilt","0,0","1,1","0,0","0,0","1,1"
634,586,"emotional_neglect_guilt","1,1","0,0","0,0","0,0","1,1"
846,778,"emotional_neglect_guilt","0,0","1,1","0,0","0,0","1,1"
956,933,"emotional_neglect_guilt","0,0","0,0","0,0","1,1","0,0"
392,344,"emotional_neglect_guilt","0,0","1,1","0,0","0,0","1,1"
717,653,"emotional_neglect_guilt","0,0","1,1","0,0","0,0","0,0"
1064,1024,"emotional_neglect_guilt","0,0","1,1","0,0","0,0","0,0"
237,181,"emotional_neglect_guilt","1,1","0,0","0,0","0,0","0,0"
1272,1194,"emotional_neglect_guilt","1,1","0,0","0,0","0,0","1,1"
543,478,"emotional_neglect_guilt","0,0","1,1","0,0","0,0","0,0"
141,92,"emotional_neglect_guilt","0,0","0,0","0,0","0,0","0,0"
564,577,"emotional_neglect_guilt","0,0","0,0","0,0","0,0","1,1"
946,878,"emotional_neglect_guilt","0,0","1,1","0,0","0,0","1,1"
1284,1196,"emotional_neglect_guilt","0,0","0,0","0,0","1,1","1,1"
288,232,"emotional_neglect_guilt","0,0","1,1","0,0","0,0","1,1"
533,467,"emotional_neglect_guilt","0,0","0,0","0,0","0,0","1,1"
464,408,"emotional_pressure_to_respond","0,0","1,1","0,0","0,0","1,1"
406,378,"emotional_pressure_to_respond","0,0","1,1","1,1","1,1","1,1"
1240,1159,"emotional_pressure_to_respond","0,0","0,0","1,1","0,0","1,1"
224,168,"emotional_pressure_to_respond","0,0","1,1","0,0","0,0","1,1"
325,271,"emotional_pressure_to_respond","0,0","1,1","0,0","0,0","0,0"
1178,1105,"emotional_pressure_to_respond","0,0","1,1","0,0","0,0","0,0"
1061,994,"emotional_pressure_to_respond","0,0","0,0","0,0","0,0","1,1"
378,400,"emotional_pressure_to_respond","1,1","0,0","0,0","0,0","1,1"
400,347,"emotional_pressure_to_respond","0,0","1,1","0,0","0,0","1,1"
627,560,"emotional_pressure_to_respond","1,1","0,0","0,0","0,0","1,1"
596,533,"emotional_pressure_to_respond","0,0","0,0","0,0","1,1","0,0"
896,825,"emotional_pressure_to_respond","0,0","0,0","0,0","0,0","1,1"
544,481,"emotional_pressure_to_respond","0,0","0,0","0,0","0,0","1,1"
502,439,"emotional_pressure_to_respond","0,0","0,0","1,1","0,0","1,1"
1201,1126,"emotional_pressure_to_respond","0,0","0,0","0,0","0,0","1,1"
368,312,"emotional_pressure_to_respond","0,0","1,1","0,0","0,0","1,1"
213,171,"emotional_pressure_to_respond","0,0","1,1","0,0","0,0","1,1"
283,228,"emotional_pressure_to_respond","0,0","1,1","0,0","0,0","1,1"
953,883,"emotional_pressure_to_respond","0,0","1,1","0,0","0,0","1,1"
520,457,"emotional_pressure_to_respond","0,0","1,1","0,0","0,0","1,1"
126,78,"emotional_pressure_to_respond","1,0","0,0","0,0","0,0","1,1"
487,425,"emotional_pressure_to_respond","0,0","0,0","1,1","0,0","0,0"
860,793,"emotional_pressure_to_respond","0,0","0,0","0,0","0,0","1,1"
158,110,"emotional_pressure_to_respond","0,0","0,0","1,1","0,0","1,1"
615,549,"emotional_pressure_to_respond","0,0","1,1","0,0","0,0","1,1"
514,489,"emotional_pressure_to_respond","0,0","0,0","0,0","0,0","1,1"
55,28,"emotional_pressure_to_respond","0,0","0,0","1,1","0,0","0,0"
284,227,"emotional_pressure_to_respond","0,0","0,0","0,0","0,0","0,0"
938,886,"emotional_pressure_to_respond","0,0","0,0","1,1","0,0","1,1"
824,755,"emotional_pressure_to_respond","0,0","0,0","1,1","0,0","1,1"
414,355,"emotional_pressure_to_respond","1,1","0,0","0,0","0,0","0,0"
1169,1089,"emotional_pressure_to_respond","0,0","0,0","0,1","0,0","1,1"
644,574,"emotional_pressure_to_respond","0,0","1,1","1,1","0,0","1,1"
338,284,"emotional_pressure_to_respond","0,0","1,1","1,1","0,0","1,1"
772,705,"emotional_pressure_to_respond","0,0","1,1","0,0","0,0","1,1"
148,98,"emotional_pressure_to_respond","0,0","0,0","0,0","0,0","0,0"
260,207,"emotional_pressure_to_respond","0,0","0,0","0,0","0,0","1,1"
97,53,"emotional_pressure_to_respond","0,0","0,0","0,0","0,0","1,1"
458,403,"emotional_pressure_to_respond","0,0","0,0","0,0","0,0","1,1"
1309,1232,"emotional_pressure_to_respond","0,0","0,0","0,0","0,0","1,1"
694,626,"emotional_pressure_to_respond","0,0","1,1","0,0","0,0","1,1"
395,338,"emotional_pressure_to_respond","0,0","0,0","0,0","0,0","0,0"
1296,1211,"emotional_pressure_to_respond","1,1","0,0","0,0","0,0","0,0"
1129,1055,"emotional_pressure_to_respond","0,0","0,0","0,0","0,0","0,0"
841,782,"emotional_pressure_to_respond","0,0","0,0","0,0","0,0","1,1"
590,526,"emotional_pressure_to_respond","0,0","1,1","0,0","0,0","1,1"
114,69,"emotional_pressure_to_respond","0,0","1,1","0,0","0,0","1,1"
608,544,"emotional_pressure_to_respond","1,1","0,0","0,0","0,0","0,0"
233,177,"emotional_pressure_to_respond","0,0","0,0","1,1","0,0","0,0"
845,779,"emotional_pressure_to_respond","0,0","0,0","0,0","0,0","1,1"
538,477,"fomo","0,0","1,1","1,1","0,0","1,1"
59,30,"fomo","0,0","1,1","1,1","0,0","1,1"
891,827,"fomo","0,0","0,0","1,1","0,0","0,0"
298,243,"fomo","0,0","0,0","1,1","0,0","0,0"
454,393,"fomo","0,0","0,0","1,0","0,0","0,0"
691,621,"fomo","0,0","0,0","1,1","0,0","0,0"
934,867,"fomo","0,0","1,1","1,1","0,0","1,1"
985,911,"fomo","0,0","0,0","1,1","0,0","0,0"
442,381,"fomo","0,0","1,1","1,1","0,0","1,1"
103,68,"fomo","0,0","0,0","1,1","0,0","0,0"
225,170,"fomo","0,0","0,0","1,1","0,0","1,1"
866,804,"fomo","0,0","0,0","1,1","0,0","0,0"
1362,1270,"fomo","0,0","0,0","1,1","0,0","1,1"
1202,1130,"fomo","0,0","0,0","1,1","0,0","1,1"
494,432,"fomo","0,0","0,0","1,1","0,0","1,1"
1221,1149,"fomo","0,0","0,0","1,1","0,0","1,1"
1289,1202,"fomo","0,0","0,0","1,1","0,0","1,1"
110,65,"fomo","0,0","0,0","1,1","0,0","1,1"
1030,959,"fomo","0,0","0,0","1,1","0,0","1,1"
74,38,"fomo","0,0","1,1","1,1","0,0","1,1"
270,216,"fomo","0,0","0,0","1,1","0,0","1,1"
463,401,"fomo","0,0","1,1","1,1","0,0","0,0"
654,585,"fomo","0,0","0,0","1,1","0,0","0,0"
679,610,"fomo","0,0","1,1","1,1","0,0","0,0"
246,192,"fomo","0,0","0,0","1,1","0,0","0,0"
675,605,"fomo","0,0","0,0","1,1","0,0","0,0"
120,74,"fomo","1,1","0,0","1,1","0,0","1,1"
1070,998,"fomo","0,0","1,1","1,1","0,0","1,1"
85,48,"fomo","0,0","0,0","1,1","0,0","1,1"
898,826,"fomo","0,0","0,0","1,1","0,0","1,1"
690,625,"fomo","0,0","0,0","1,1","0,0","0,0"
749,681,"fomo","0,0","0,0","1,1","0,0","0,0"
855,790,"fomo","0,0","0,0","1,1","0,0","1,1"
506,445,"fomo","0,0","0,0","1,1","0,0","1,1"
1115,1044,"fomo","0,0","1,1","1,1","0,0","1,1"
259,206,"fomo","0,0","0,0","1,1","0,0","1,1"
884,812,"fomo","0,0","0,0","1,1","0,0","0,0"
